Version, File Name, LOC, NAuth, Fan-Out, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Time Span (days), Buggy
1, storm-core/src/jvm/storm/trident/testing/Split.java, 19, 2, 4, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/fluent/ChainedFullAggregatorDeclarer.java, 15, 2, 4, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/task/TopologyContext.java, 248, 2, 20, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/builtin/Count.java, 24, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/transactional/TransactionalTopologyBuilder.java, 493, 2, 30, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/fluent/IChainedAggregatorDeclarer.java, 7, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/IComponent.java, 27, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/TopologyBuilder.java, 342, 2, 17, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/planner/PartitionNode.java, 35, 2, 8, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/BaseAggregator.java, 6, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/state/map/CachedMap.java, 62, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/scheduler/Topologies.java, 40, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/BatchRepeatA.java, 31, 2, 6, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/spout/NothingEmptyEmitStrategy.java, 14, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/tuple/Fields.java, 83, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/base/BaseOpaquePartitionedTransactionalSpout.java, 8, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/ShellProcess.java, 132, 3, 13, 7, 156, 60, 22.285715, 77, 25, 11.0, 225, false
1, storm-core/src/jvm/backtype/storm/utils/ThriftTopologyUtils.java, 41, 2, 8, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/state/ReadOnlyState.java, 14, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/task/ShellBolt.java, 228, 4, 18, 13, 98, 29, 7.5384617, 33, 5, 2.5384614, 225, false
1, storm-core/src/jvm/backtype/storm/utils/WindowedTimeThrottler.java, 34, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java, 4, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/LocalState.java, 72, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/testing/LRUMemoryMapState.java, 137, 2, 13, 6, 3, 1, 0.5, 0, 0, 0.0, 61, false
1, storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java, 419, 2, 19, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/task/IBolt.java, 66, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/spout/TridentSpoutExecutor.java, 121, 2, 18, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/testing/FixedBatchSpout.java, 79, 3, 9, 5, 38, 19, 7.6, 24, 12, 4.8, 84, false
1, storm-core/src/jvm/backtype/storm/generated/JavaObjectArg.java, 532, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/planner/processor/PartitionPersistProcessor.java, 89, 2, 14, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/impl/ReducerAggStateUpdater.java, 36, 2, 10, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/transactional/ICommitter.java, 9, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/TimeCacheMap.java, 144, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/TestPlannerBolt.java, 27, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java, 427, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/AckTracker.java, 35, 2, 4, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/ReportedFailedException.java, 19, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/scheduler/TopologyDetails.java, 72, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/CombinerAggregator.java, 12, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/KeyedCountingCommitterBolt.java, 7, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/spout/IPartitionedTridentSpout.java, 60, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/Time.java, 86, 2, 6, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/testing/TrueFilter.java, 13, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java, 705, 2, 28, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/CountingCommitBolt.java, 40, 2, 10, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/security/auth/ITransportPlugin.java, 38, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/OpaqueMemoryTransactionalSpout.java, 169, 2, 14, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java, 328, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/security/auth/ThriftServer.java, 62, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/partition/IdentityGrouping.java, 44, 2, 9, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/spout/TridentSpoutCoordinator.java, 77, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/CompleteTopologyParam.java, 50, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/TestGlobalCount.java, 43, 2, 10, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/security/auth/IAuthorizer.java, 30, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/security/auth/authorizer/DenyAuthorizer.java, 40, 2, 6, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/impl/SingleEmitAggregator.java, 78, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/base/BaseBatchBolt.java, 8, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/Grouping.java, 662, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/tuple/TridentTuple.java, 55, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/impl/GroupedMultiReducerExecutor.java, 78, 2, 11, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/metric/SystemBolt.java, 138, 5, 16, 10, 181, 139, 18.1, 142, 139, 14.2, 166, false
1, storm-core/src/jvm/storm/trident/planner/ProcessorNode.java, 16, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/RegisteredGlobalState.java, 47, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java, 13, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/JavaObject.java, 463, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java, 18, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/ReducerAggregator.java, 9, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/builtin/Sum.java, 25, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/scheduler/SupervisorDetails.java, 72, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/AckFailMapTracker.java, 35, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/transactional/TransactionAttempt.java, 44, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/Config.java, 958, 9, 8, 35, 1112, 171, 31.77143, 427, 170, 12.2, 215, true
1, storm-core/src/jvm/storm/trident/fluent/ChainedPartitionAggregatorDeclarer.java, 15, 2, 4, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
