Version, File Name, LOC, NAuth, NFix, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Age, Buggy
0, hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java, 290, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java, 105, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java, 182, 7, 0, 7, 12473, 1734, 5.536174, 13833, 1732, 6.1398134, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java, 43, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java, 65, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java, 549, 9, 0, 9, 16406, 1734, 6.484585, 18565, 1732, 7.3379445, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java, 139, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java, 79, 1, 0, 1, 862, 343, 5.9041095, 775, 343, 5.308219, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java, 53, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java, 59, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java, 138, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java, 59, 3, 0, 3, 51299, 1734, 25.295364, 52972, 1732, 26.120316, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java, 42, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java, 39, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java, 70, 3, 0, 3, 12185, 1734, 6.8072624, 14074, 1732, 7.86257, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java, 453, 4, 0, 4, 51550, 1734, 23.843664, 53101, 1732, 24.561054, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java, 88, 2, 0, 2, 9651, 1734, 5.8278985, 11428, 1732, 6.900966, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java, 73, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java, 86, 2, 0, 2, 9651, 1734, 5.8278985, 11428, 1732, 6.900966, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java, 82, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java, 76, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java, 33, 2, 0, 2, 42032, 1252, 81.93372, 41798, 1252, 81.477585, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java, 100, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java, 160, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
